professor,project_name,year_range,layer,one_liner,inputs_outputs,key_papers,code_url,reproducibility,prerequisites
성효진,PRIMO,2023,에뮬레이션 (KAIST 김주영팀 공동),PIM-DRAM 풀스택 ML 워크로드 에뮬레이션,입력: ML 모델 / 출력: PIM-DRAM 시뮬레이션 결과,ICCAD 2023,(공개 미확인),어려움,"PIM, FPGA, ML systems"
성효진,Heterogeneous ACiM Search,2023,DSE (analog CiM),가변 타일 크기 아날로그 CiM 아키텍처의 다목적 검색,입력: DNN + 제약 / 출력: 최적 CiM 구성,ICCAD 2023,https://github.com/wntjd9805/hetero-neurosim-search,중간,"analog computing, DSE, NeuroSim"
성효진,NavCim,2024,DSE (analog CiM),아날로그 CiM 아키텍처를 위한 종합 DSE 도구,입력: DNN + design space / 출력: Pareto-optimal CiM,PACT 2024,https://github.com/wntjd9805/navcim,중간,"analog CiM, DSE"
성효진,IMTP / ATiM,2024-2025,컴파일러 (UPMEM PIM),UPMEM DRAM-PIM을 위한 search-based 텐서 컴파일러,입력: 텐서 프로그램 / 출력: UPMEM PIM 코드,arXiv 2024 + ISCA 2025,arXiv:2412.19630,어려움 (UPMEM 시뮬 또는 실제 보드),"PIM, UPMEM, tensor compiler"
성효진,HYPERF,2025,컴파일러 (HPC),TVM 기반 텐서 오토튜닝과 OpenMP 프론트엔드를 결합한 HPC 자동튜너,입력: HPC 커널 / 출력: 자동튜닝된 OpenMP/CUDA 코드,HPDC 2025,(공개 미확인),중간,"HPC, TVM, OpenMP"
성효진,FORTE,2026,런타임/쿼리 옵티마이저,온라인 DataFrame 쿼리 옵티마이저,입력: pandas/PySpark 쿼리 / 출력: 동적 최적화된 실행계획,CGO 2026,(공개 미확인),중간,"DataFrame, query optimization"
성효진,CXL Near-Data Processing,2024,하드웨어/메모리,CXL 메모리 확장기 안에서 일반 목적 NDP 가속,입력: CXL 메모리 액세스 / 출력: NDP 결과,MICRO 2024,arXiv:2404.19381,어려움,"CXL, NDP, memory"
유민수,GPU GPGPU 마이크로아키텍처 시리즈 (CAPRI/Dual-Path/SIMD Permutation/Locality-Aware),2012-2014,GPU 아키텍처,GPU의 분기/SIMD/메모리 비효율을 마이크로아키텍처 수준에서 해결,입력: GPGPU 워크로드 / 출력: 자원 효율적인 SIMD 실행,"ISCA 2012, HPCA 2013, ISCA 2013, MICRO 2013",GPGPU-Sim 패치 형태,어려움,"GPU 아키텍처, GPGPU-Sim"
유민수,vDNN,2016,GPU/메모리 가상화,DNN 학습 시 activation을 GPU↔CPU로 자동 swap-in/out,입력: DNN 학습 / 출력: GPU 메모리 사용량 절감,MICRO 2016,arXiv:1602.08124,중간 (논문 reimpl 필요),"CUDA, DNN training, memory hierarchy"
유민수,SCNN,2017,DL 가속기 / Sparse,weight+activation sparsity를 모두 활용하는 dataflow CNN 가속기,입력: sparse CNN / 출력: 적은 곱셈/메모리 접근으로 추론,ISCA 2017,(NVIDIA closed),어려움,"sparse DNN, dataflow accelerator"
유민수,cDMA,2018,GPU/메모리 압축,activation sparsity를 활용해 vDNN의 데이터 이동을 압축,입력: vDNN swap traffic / 출력: 압축된 GPU↔CPU 전송,HPCA 2018,(NVIDIA closed),중간,"DMA, sparsity, GPU memory"
유민수,Memory-Centric HPC for DL,2018,DL 시스템 아키텍처,DNN 학습이 capacity-bound 임을 분석하고 memory-centric HPC 제안,입력: DL 워크로드 분석 / 출력: 아키텍처 제안,MICRO 2018,(개념 논문),쉬움 (이해 위주),"DL training, HPC"
유민수,TensorDIMM,2019,NMP / 추천,추천 embedding 연산을 위한 near-memory DIMM,입력: embedding op / 출력: NMP에서 가속된 lookup/reduce,MICRO 2019,(논문 + 시뮬레이터 reimpl),어려움,"NMP, DIMM, embedding"
유민수,Centaur,2020,추천 가속기 / Chiplet,sparse(embedding)+dense(MLP)를 칩렛으로 분리한 하이브리드 가속기,입력: 추천 모델 / 출력: chiplet 통합 가속,ISCA 2020,(논문 기반 reimpl),어려움,"chiplet, recommendation, dataflow"
유민수,NeuMMU,2020,NPU / MMU,NPU의 가상-물리 주소 변환 병목 해결,입력: NPU memory access / 출력: 빠른 address translation,ASPLOS 2020,(논문 기반),어려움,"MMU, NPU, virtual memory"
유민수,PREMA,2020,NPU / 스케줄링,선점형 NPU에서 다중 추론 작업의 SLA-aware 스케줄링,입력: 다중 추론 요청 / 출력: 우선순위 기반 실행,HPCA 2020,(논문 기반),중간,"NPU, scheduling, preemption"
유민수,TRiM,2021,NMP / Tensor reduction,DRAM 인터페이스에 tensor reduction을 통합한 NMP,입력: tensor reduction op / 출력: 메모리 측 reduction,MICRO 2021,(논문 기반),어려움,"NMP, DRAM, tensor"
유민수,Tensor Casting,2021,추천 학습 가속,embedding 학습을 가속하는 알고리즘-아키텍처 코디자인,입력: 추천 모델 학습 / 출력: 빠른 embedding 업데이트,HPCA 2021,arXiv:2010.13100,어려움,"recommendation training, embedding"
유민수,LazyBatching,2021,ML 서빙,SLA-aware 배칭 알고리즘 for 클라우드 ML 추론,입력: 추론 요청 / 출력: 배치 결정,HPCA 2021,(논문 기반),중간,"ML serving, batching, SLA"
유민수,BTS / ARK (FHE),2022,FHE 가속기,Bootstrappable FHE 및 ARK FHE 가속기,입력: FHE op / 출력: 가속된 NTT/keyswitch,ISCA 2022 / MICRO 2022,(서울대 안정호팀 공동),어려움,"FHE, NTT, accelerator"
유민수,DiVa,2022,DP 가속기,DP-SGD를 위한 differentially private ML 가속기,입력: DP-SGD 학습 / 출력: 가속된 노이즈 + clipping,MICRO 2022,(논문 기반),어려움,"DP-SGD, accelerator"
유민수,SmartSAGE,2022,GNN / 스토리지,대규모 GNN 학습을 위한 in-storage processing,입력: 큰 그래프 / 출력: in-storage processed batch,ISCA 2022,(논문 기반),어려움,"GNN, in-storage processing"
유민수,GROW,2023,GNN / 가속기,GCN을 위한 row-stationary sparse-dense GEMM 가속기,입력: GCN / 출력: 메모리 효율적인 sparse-dense GEMM,HPCA 2023,(논문 기반),어려움,"GCN, sparse GEMM"
유민수,uPIMulator,2024,PIM 시뮬레이터,UPMEM 상용 PIM의 풀스택 시뮬레이터,입력: PIM 프로그램 / 출력: 사이클 정확 시뮬레이션,HPCA 2024 (Best Paper),https://github.com/VIA-Research/uPIMulator,중간,"PIM, simulator, UPMEM"
유민수,PIM-MMU,2024,PIM / MMU,상용 PIM 시스템의 host-PIM 데이터 전송용 MMU,입력: PIM 데이터 전송 / 출력: 가속된 transfer,MICRO 2024,(논문 기반),어려움,"PIM, MMU"
유민수,vTrain,2024,LLM 시뮬레이션,LLM 학습의 비용/연산 효율 시뮬레이션 프레임워크,입력: LLM 학습 구성 / 출력: 시간/비용/throughput 예측,MICRO 2024,https://github.com/VIA-Research/vTrain,중간,"LLM, training simulation"
유민수,Pre-gated MoE,2024,MoE 추론,MoE 추론을 위한 pre-gating 알고리즘-시스템 코디자인,입력: MoE 모델 / 출력: 빠르고 메모리 효율적인 MoE 추론,ISCA 2024,arXiv:2308.12066,중간,"MoE, expert routing"
유민수,ElasticRec,2024,추천 서빙,마이크로서비스 기반 elastic 추천 서빙,입력: 추천 워크로드 / 출력: 자원 스케일링,ISCA 2024,(논문 기반),중간,"recommendation, microservice"
유민수,PreSto,2024,추천 / 스토리지,SSD 내부에서 추천 학습 전처리,입력: raw data / 출력: 전처리된 학습 batch,ISCA 2024,(논문 기반),어려움,"in-storage, preprocessing"
유민수,LazyDP,2024,DP 추천 학습,DP 추천모델 학습 알고리즘-소프트웨어 코디자인,입력: DP-SGD 추천 / 출력: 빠른 학습,ASPLOS 2024,(논문 기반),어려움,"DP-SGD, recommendation"
유민수,Hera,2025,추천 서빙,이기종 자원에서 멀티 테넌트 추천 서빙,입력: 멀티 워크로드 / 출력: 이기종 스케줄링,PACT 2025,(논문 기반),중간,"heterogeneous serving, recommendation"
유민수,Mamba-X,2025,SSM 가속기 / 엣지,엣지 디바이스용 Vision Mamba SSM 가속기,입력: Vision Mamba / 출력: 엣지 추론,ICCAD 2025,(논문 기반),어려움,"SSM, Mamba, edge"
유민수,PASCAL,2026,LLM 스케줄링,reasoning LLM의 phase-aware 스케줄링,입력: reasoning 추론 / 출력: phase 인식 스케줄,HPCA 2026,arXiv:2602.11530,중간,"LLM serving, reasoning"
유민수,Cost of Dynamic Reasoning,2026,AI 에이전트 인프라,AI 에이전트와 test-time scaling의 인프라 비용 분석,입력: 에이전트 워크로드 / 출력: 비용 분석,HPCA 2026,arXiv:2506.04301,쉬움 (특성화),"AI agent, test-time scaling"
유민수,Agent-X,2026,모바일 AI 에이전트,온디바이스 AI 에이전트의 풀파이프라인 가속,입력: 에이전트 파이프라인 / 출력: 모바일 가속,MobiSys 2026,(논문 기반),어려움,"on-device, agent, mobile"
유민수,SpecMoE,2026,MoE 추론,self-assisted speculative decoding 기반 MoE 추론,입력: MoE 추론 요청 / 출력: 가속된 디코딩,DAC 2026,(논문 기반),중간,"MoE, speculative decoding"
유민수,PIM-malloc,2026,PIM 메모리할당,PIM 아키텍처를 위한 동적 메모리 할당자,입력: PIM 동적 할당 요청 / 출력: 빠른 malloc/free,HPCA 2026,arXiv:2505.13002,중간,"PIM, memory allocator"
